Years,Per Capita Consumption
2012-13,914.4106342
2013-14,956.6382874
2014-15,1009.608027
2015-16,1074.646514
2016-17,1121.731963
2017-18,1149.102247
2018-19,1180.856498
2019-20,1207.890925
2020-21,1160.543093
2021-22,1255.139534
