Years,Per Capita Consumption
2012,914.4106342
2013,956.6382874
2014,1009.608027
2015,1074.646514
2016,1121.731963
2017,1149.102247
2018,1180.856498
2019,1207.890925
2020,1160.543093
2021,1255.139534
